Date,Price High,Price Low,Price Open,Price Close
9/12/2016,1329.300049,1319.900024,1327,1321
9/13/2016,1324.599976,1315,1324.599976,1319
9/14/2016,1322.300049,1319.199951,1319.199951,1321.5
9/15/2016,1320.699951,1310.800049,1320.699951,1313.5
9/16/2016,1312.599976,1305.800049,1312.199951,1305.800049
9/19/2016,1313.5,1313.5,1313.5,1313.5
9/20/2016,1313.699951,1313.699951,1313.699951,1313.699951
9/21/2016,1326.900024,1324,1326.300049,1326.900024
9/22/2016,1340.400024,1338.199951,1338.599976,1340.400024
9/23/2016,1337.199951,1337.199951,1337.199951,1337.199951
9/26/2016,1341.800049,1335.199951,1335.199951,1339.699951
9/27/2016,1328.699951,1325.900024,1328,1325.900024
9/28/2016,1319.400024,1319.400024,1319.400024,1319.400024
9/29/2016,1325,1314.699951,1321.199951,1321.699951
9/30/2016,1327.699951,1312.900024,1320.599976,1313.300049
10/3/2016,1316.800049,1308.199951,1313.5,1309
10/4/2016,1310.199951,1266.300049,1307.599976,1266.300049
10/5/2016,1274,1261.300049,1272.099976,1265.199951
10/6/2016,1265.300049,1249.800049,1265.300049,1249.800049
10/7/2016,1263.599976,1248.900024,1253.900024,1248.900024
10/11/2016,1258.900024,1253,1258.900024,1253
10/12/2016,1254,1251.099976,1251.699951,1251.099976
10/13/2016,1259,1255,1258.699951,1255
10/14/2016,1253.900024,1250.599976,1253.900024,1253.099976
10/17/2016,1255,1249.900024,1249.900024,1254.400024
10/18/2016,1261.699951,1260.800049,1260.900024,1260.800049
10/19/2016,1271.5,1262.900024,1262.900024,1267.900024
10/20/2016,1270.5,1265.5,1270,1265.599976
10/21/2016,1265.900024,1265.900024,1265.900024,1265.900024
10/24/2016,1269.199951,1261.800049,1269.199951,1262
10/25/2016,1274.099976,1264.099976,1264.099976,1271.900024
10/26/2016,1274,1264.800049,1274,1264.800049
10/27/2016,1269.400024,1267.900024,1269.400024,1267.900024
10/28/2016,1281.5,1262,1270.300049,1275.5
10/31/2016,1276.599976,1271.5,1276.599976,1271.5
11/1/2016,1290.699951,1279,1279.300049,1286.400024
11/2/2016,1307,1288.300049,1288.300049,1306.800049
11/3/2016,1303.099976,1287.300049,1296.400024,1302.099976
11/4/2016,1303.300049,1296.699951,1300,1303.300049
11/7/2016,1294.5,1278.300049,1292,1278.300049
11/8/2016,1289.400024,1273.199951,1284.099976,1273.400024
11/9/2016,1318.599976,1270,1272.199951,1272.599976
11/10/2016,1287.5,1253.300049,1274.400024,1265.5
11/14/2016,1229.5,1210.400024,1227.800049,1221.199951
11/15/2016,1226,1222.5,1224.300049,1224
11/16/2016,1229.300049,1223,1229.300049,1223.400024
11/17/2016,1225,1211,1224.599976,1216.5
11/18/2016,1211.900024,1207.199951,1211.900024,1208.5
11/21/2016,1209.599976,1209.599976,1209.599976,1209.599976
11/22/2016,1211.099976,1207.599976,1210.400024,1211
11/23/2016,1213.800049,1186.800049,1212.800049,1189.099976
11/25/2016,1189.300049,1177,1177,1178.199951
11/28/2016,1190.599976,1188,1188,1190.599976
11/29/2016,1194.800049,1179.400024,1193.199951,1187.900024
11/30/2016,1193.300049,1167.900024,1187.099976,1170.800049
12/1/2016,1174.599976,1160,1172.699951,1166.900024
12/2/2016,1177.300049,1166.400024,1172.300049,1175.099976
12/5/2016,1186.699951,1157,1181.800049,1174
12/6/2016,1174.5,1167.099976,1170.900024,1167.599976
12/7/2016,1178.5,1166.400024,1167.699951,1175
12/8/2016,1177.800049,1169.099976,1173.800049,1169.800049
12/9/2016,1168.800049,1156,1166.599976,1159.400024
12/12/2016,1163.900024,1153,1158.300049,1163.5
12/13/2016,1164,1155.400024,1163.5,1156.699951
12/14/2016,1164,1142,1159.800049,1161.300049
12/15/2016,1143.300049,1123.900024,1139.800049,1127.800049
12/16/2016,1140.900024,1126.900024,1126.900024,1135.300049
12/19/2016,1140.699951,1137.900024,1139.400024,1140.5
12/20/2016,1133.5,1126.5,1133.5,1131.5
12/21/2016,1136.099976,1130,1136.099976,1131.099976
12/22/2016,1132.800049,1128.300049,1131.199951,1128.800049
12/23/2016,1132.800049,1130.300049,1130.900024,1131.900024
12/27/2016,1142.199951,1134.300049,1134.300049,1137.300049
12/28/2016,1141.199951,1138,1141.199951,1139.400024
12/29/2016,1158.800049,1143.599976,1143.800049,1156.400024
12/30/2016,1162,1150,1162,1150
1/3/2017,1160.800049,1146.5,1155.199951,1160.400024
1/4/2017,1165,1156.300049,1156.300049,1163.800049
1/5/2017,1183.300049,1171.5,1172,1179.699951
1/6/2017,1176.5,1171.900024,1176.5,1171.900024
1/9/2017,1183.599976,1173,1173.900024,1183.5
1/10/2017,1188.900024,1182.300049,1184.300049,1184.199951
1/11/2017,1197,1176.5,1187.5,1195.599976
1/12/2017,1204.300049,1192.300049,1192.699951,1198.900024
1/13/2017,1196,1187.699951,1195.699951,1195.300049
1/17/2017,1214.599976,1200.800049,1205.5,1212
1/18/2017,1214.699951,1203.099976,1213.599976,1211.300049
1/19/2017,1204,1195.800049,1200.5,1200.900024
1/20/2017,1212.099976,1202.800049,1202.800049,1204.300049
1/23/2017,1215,1210,1212,1215
1/24/2017,1219,1207.699951,1219,1210.300049
1/25/2017,1202.800049,1194.900024,1202,1197.300049
1/26/2017,1199.699951,1185.599976,1199.699951,1189.5
1/27/2017,1188.300049,1187.900024,1187.900024,1188.099976
1/30/2017,1198.5,1187.099976,1191.699951,1193.199951
1/31/2017,1214.699951,1193.5,1194.900024,1208.599976
2/1/2017,1211.900024,1197.900024,1211.900024,1205.599976
2/2/2017,1224.199951,1208.900024,1209.699951,1216.699951
2/3/2017,1220.599976,1206.199951,1214.900024,1218.5
2/6/2017,1235.400024,1218.5,1221.900024,1230
2/7/2017,1236.199951,1228.5,1234.199951,1234.199951
2/8/2017,1243.900024,1231,1232.099976,1237.599976
2/9/2017,1243.5,1226.900024,1239.400024,1235.099976
2/10/2017,1234.400024,1221.5,1227.599976,1234.400024
2/13/2017,1231.099976,1219,1230.5,1224.400024
2/14/2017,1233.5,1222.099976,1225.900024,1223.900024
2/15/2017,1231.699951,1217.300049,1225.5,1231.699951
2/16/2017,1240.699951,1233.199951,1234.5,1240
2/17/2017,1241.199951,1234.800049,1240.699951,1237.599976
2/21/2017,1237.5,1228.099976,1237.300049,1237.5
2/22/2017,1238.599976,1231.800049,1236.099976,1232
2/23/2017,1250.300049,1236.099976,1236.099976,1250.199951
2/24/2017,1258.800049,1250,1250,1256.900024
2/27/2017,1263.099976,1250.400024,1254.699951,1257.400024
2/28/2017,1257.300049,1247.199951,1253.599976,1252.599976
3/1/2017,1248.900024,1236.900024,1247.800049,1248.900024
3/2/2017,1247.599976,1230.699951,1247.199951,1231.900024
3/3/2017,1235.199951,1222.900024,1231.699951,1225.5
3/6/2017,1235.199951,1224.5,1235.199951,1224.5
3/7/2017,1225.400024,1213.699951,1224.300049,1215.099976
3/8/2017,1212.199951,1206.699951,1212.199951,1208.5
3/9/2017,1205.599976,1202.300049,1204.5,1202.400024
3/10/2017,1203.300049,1196.199951,1196.199951,1200.699951
3/13/2017,1210,1202.300049,1206.199951,1202.400024
3/14/2017,1205.900024,1196.800049,1203.099976,1201.900024
3/15/2017,1221.199951,1197.699951,1198.199951,1200.099976
3/16/2017,1231.400024,1222.199951,1222.199951,1226.5
3/17/2017,1230.900024,1227.099976,1227.099976,1229.800049
3/20/2017,1234.400024,1229.300049,1229.300049,1233.599976
3/21/2017,1246.099976,1226.400024,1226.400024,1246.099976
3/22/2017,1249.5,1247.699951,1247.900024,1249.300049
3/23/2017,1247.5,1244.800049,1246.400024,1246.900024
3/24/2017,1248.300049,1247.599976,1248,1248.199951
3/27/2017,1257.699951,1253.800049,1255.800049,1255.400024
3/28/2017,1255.900024,1255.300049,1255.900024,1255.300049
3/29/2017,1253.400024,1252.099976,1252.199951,1253.400024
3/30/2017,1253.599976,1241.099976,1253.099976,1245
3/31/2017,1248.800049,1238.699951,1242.099976,1247.300049
4/3/2017,1252.400024,1243.599976,1247.5,1250.800049
4/4/2017,1260.300049,1253,1253.099976,1255
4/5/2017,1255.400024,1243,1255.400024,1245.400024
4/6/2017,1257.5,1249,1256.099976,1250.300049
4/7/2017,1269.099976,1249.5,1249.5,1254.300049
4/10/2017,1255.199951,1246.800049,1252.699951,1251.099976
4/11/2017,1273.5,1254.5,1254.5,1271.199951
4/12/2017,1285.099976,1272,1275,1275.300049
4/13/2017,1287.599976,1282,1285.300049,1285.900024
4/17/2017,1294.800049,1284.300049,1291.800049,1289.400024
4/18/2017,1291.699951,1278.599976,1283.900024,1291.699951
4/19/2017,1288,1274,1288,1281.400024
4/20/2017,1281.900024,1276.199951,1279.699951,1281.900024
4/21/2017,1287.400024,1279.199951,1279.800049,1287.400024
4/24/2017,1276.400024,1265,1275,1275.800049
4/25/2017,1276.900024,1262.099976,1275.599976,1265.599976
4/26/2017,1266,1262.099976,1266,1262.099976
4/27/2017,1267.199951,1262.199951,1266.699951,1263.699951
4/28/2017,1267.199951,1264.699951,1265.900024,1266.099976
5/1/2017,1269.300049,1253.300049,1268.699951,1253.300049
5/2/2017,1256.199951,1251.199951,1256.199951,1255.099976
5/3/2017,1255.800049,1238.699951,1255.099976,1246.400024
5/4/2017,1239.800049,1224.199951,1239.800049,1226.5
5/5/2017,1233.699951,1224.800049,1227,1224.800049
5/8/2017,1234,1224,1224,1225.300049
5/9/2017,1226.199951,1214,1226.099976,1214.300049
5/10/2017,1220.199951,1217.300049,1219.800049,1217.300049
5/11/2017,1222.699951,1218.300049,1218.5,1222.699951
5/12/2017,1229.5,1226.099976,1228,1226.199951
5/15/2017,1232.699951,1227.5,1227.5,1228.599976
5/16/2017,1237.300049,1230.400024,1230.400024,1235
5/17/2017,1259.199951,1240.699951,1241,1257.5
5/18/2017,1260,1245.800049,1254.800049,1251.699951
5/19/2017,1252.699951,1252.699951,1252.699951,1252.699951
5/22/2017,1260.699951,1251.699951,1251.699951,1260.699951
5/23/2017,1261.599976,1250.599976,1261.5,1254.800049
5/24/2017,1257.800049,1249.699951,1251.900024,1252.400024
5/25/2017,1258.300049,1255.800049,1257.099976,1255.800049
5/26/2017,1267.599976,1267.599976,1267.599976,1267.599976
5/30/2017,1270,1258.400024,1267.400024,1262.099976
5/31/2017,1273.199951,1258.5,1262.400024,1272
6/1/2017,1269.199951,1260.800049,1268,1267
6/2/2017,1279,1259,1265.199951,1276.800049
6/5/2017,1282,1277,1279.199951,1279.300049
6/6/2017,1295.199951,1279.400024,1279.400024,1294.400024
6/7/2017,1293.099976,1284.300049,1291.599976,1290.099976
6/8/2017,1287.599976,1268.099976,1285.400024,1276.300049
6/9/2017,1277.900024,1264.599976,1277.900024,1268.5
6/12/2017,1269.300049,1263.199951,1266.400024,1266.099976
6/13/2017,1266.900024,1259.699951,1264.099976,1265.800049
6/14/2017,1278,1256.800049,1269.400024,1272.800049
6/15/2017,1264.199951,1250.300049,1263.199951,1252.199951
6/16/2017,1255.300049,1251.300049,1252.800049,1254
6/19/2017,1252.199951,1241.900024,1252.099976,1244.199951
6/20/2017,1245.5,1240.5,1242.199951,1241
6/21/2017,1245,1240,1244.099976,1243.400024
6/22/2017,1252.699951,1246.300049,1251,1247.599976
6/23/2017,1273.599976,1249.800049,1250,1256.199951
6/26/2017,1260.199951,1241.599976,1260.199951,1246.300049
6/27/2017,1251.800049,1245.900024,1251.599976,1246.400024
6/28/2017,1248.5,1248,1248.5,1248
6/29/2017,1250.699951,1238.099976,1248.199951,1244.199951
6/30/2017,1243.699951,1239.099976,1243.699951,1240.699951
7/3/2017,1236,1217.900024,1236,1217.900024
7/5/2017,1225,1217.099976,1222.5,1220.400024
7/6/2017,1225.099976,1222.199951,1225.099976,1222.199951
7/7/2017,1220.400024,1208.599976,1219.099976,1208.599976
7/10/2017,1212.099976,1209.599976,1211.400024,1212.099976
7/11/2017,1214.900024,1208.699951,1208.699951,1213.599976
7/12/2017,1219.400024,1217.900024,1218.300049,1218.099976
7/13/2017,1221.400024,1216.300049,1221.400024,1216.300049
7/14/2017,1227.5,1214.800049,1214.900024,1226.599976
7/17/2017,1233.400024,1229.900024,1229.900024,1232.800049
7/18/2017,1241.199951,1236.199951,1236.199951,1241.099976
7/19/2017,1241.199951,1240.099976,1240.400024,1241.199951
7/20/2017,1244.800049,1236.599976,1236.599976,1244.800049
7/21/2017,1254.300049,1250.5,1250.699951,1254.300049
7/24/2017,1256,1253.900024,1256,1253.900024
7/25/2017,1253.599976,1249.199951,1252.699951,1251.699951
7/26/2017,1249,1244.800049,1244.800049,1249
7/27/2017,1259.599976,1259.599976,1259.599976,1259.599976
7/28/2017,1270,1256.900024,1258.400024,1268.400024
7/31/2017,1270.800049,1265.800049,1268.900024,1266.599976
8/1/2017,1273.300049,1262,1268.400024,1272.599976
8/2/2017,1272.099976,1262.900024,1268.5,1271.800049
8/3/2017,1269.800049,1256.599976,1265.900024,1267.800049
8/4/2017,1269.599976,1253.900024,1269,1258.300049
8/7/2017,1259.099976,1255.300049,1258.699951,1258.199951
8/8/2017,1264.099976,1251.400024,1256.900024,1256.400024
8/9/2017,1277.800049,1260.199951,1260.199951,1273
8/10/2017,1287.400024,1274.900024,1276.599976,1283.699951
8/11/2017,1291.099976,1282,1286.300049,1287.699951
8/14/2017,1288.400024,1278.800049,1288.400024,1284.199951
8/15/2017,1280.5,1267.400024,1280.5,1273.699951
8/16/2017,1282.599976,1269.400024,1271.300049,1276.900024
8/17/2017,1288.5,1283.199951,1283.800049,1286.400024
8/18/2017,1300.699951,1284.300049,1288.599976,1285.699951
8/21/2017,1290.800049,1284.699951,1285.199951,1290.800049
8/22/2017,1288.400024,1283.199951,1287.199951,1285.099976
8/23/2017,1289.400024,1286.900024,1289.400024,1288.900024
8/24/2017,1288.699951,1284,1288.699951,1286.5
8/25/2017,1292.699951,1280.300049,1285.400024,1292.5
8/28/2017,1311.300049,1293.5,1293.5,1309.699951
8/29/2017,1323.800049,1313.099976,1318.800049,1313.099976
